trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,8,-25.3195637885835,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-115.51723810484313,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-219.11807908045077,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-174.65205893409438,"{0: 18, 1: 7, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-159.99803090567525,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-46.095635764049945,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-94.74082449870106,"{0: 16, 1: 10, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-165.7761411334971,"{0: 14, 1: 8, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-20.257424959946878,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-59.72802725127612,"{0: 20, 1: 6, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-60.20603762497601,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-31.28679142767951,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-42.896832927647885,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-32.57821737666227,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-81.11123648268882,"{0: 19, 1: 11, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-49.6050127856044,"{0: 9, 1: 10, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-30.16007269242847,"{0: 15, 1: 8, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-33.949137303486616,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-45.78346071303971,"{0: 12, 1: 12, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-35.80417321178673,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-38.25806419813204,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-32.60522394449026,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-38.49432962900004,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-56.99134076554195,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",35,0,-63.69028825652986,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-66.6478649207155,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-27.57532661048362,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-31.509256563050915,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-53.910190373431966,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.023897773339808,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
