trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.38039400528547,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-136.04140710212613,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-176.77155879162444,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,2,-115.4149868565382,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-138.4637311913298,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,14,-30.464816155881003,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-63.173494103968025,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-132.66652002750774,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-148.49583897091037,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.835270211411272}",20,3,-57.34419915616168,"{0: 10, 1: 4, 2: 1, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-98.3926949397231,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-50.92232824861884,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-44.475597256292694,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7710515858035663}",30,6,-85.96674806558092,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.7557837414557255}",30,11,-4.583970917401839,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,11,-0.2193322263919435,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-131.3217014146209,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-51.61048886977596,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.697676326071031}",30,8,-33.426676388663104,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.6838614092123558}",35,12,-190.46041478488996,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 4}",1
21,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,4,-49.73781420442967,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,11,-62.769376659359324,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,2,-1.8401687375581728,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.631283645506926}",20,1,-86.62666366917199,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-97.79865129492578,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,13,-10.939812674203742,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,13,-27.615873925298462,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,0,-22.869685236295062,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,4,-140.74069474474646,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 2}",1
30,False,"{'a': 0.5, 'e': 0.559898366565402}",35,0,-101.36994297758127,"{0: 26, 1: 4, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,-100.39717182762206,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.5379444375946745}",30,0,2.1579072152065812,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.5272924240430485}",30,9,8.030737219768952,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,10,-63.57931732321005,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",1
