trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.75634188442353,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.70129582269706,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,14,1.1682559108095703,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-181.23013123289996,"{0: 18, 1: 4, 2: 10, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.11580887457887,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.71977412094577,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.98877568092215,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.55983169198814,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.71790551243016,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.39061763160349,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.91966704706789,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.40093706107118,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.20999368288807,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.60995618925006,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.49928298100658,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.53029699582353,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.45740867751181,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.17211386217196,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,7,-38.040744764902996,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.1726893590517,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.00574594363,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-230.06751032984891,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.7034840770202,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.2633266903883,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-119.42651608074347,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.37322420328877,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.70974190409198,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.72735797031513,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.35555992156013,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.4078520554292,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
